Prompt Name,Function Accuracy,Argument Accuracy,Overall Accuracy,Execution Time,Recomputed
"Create a post in r/Technology titled ""Top 10 Travel Tips"" with content ""Tips for maintaining healthy habits"".",1.0,1.0,1.0,1.839759111404419,0
Draft a post for r/Technology titled Top 10 Travel Tips focusing on tips for healthy habits.,0.25,0.8,0.525,1.7802643775939941,1
Submit a post on r/Technology with the title Top 10 Travel Tips and include advice on healthy habits.,1.0,0.2857142857142857,0.6428571428571428,2.079610586166382,1
Write a post in r/Technology under the title Top 10 Travel Tips providing content on maintaining healthy habits.,0.25,0.8,0.525,1.1731481552124023,1
Prepare a post for r/Technology titled Top 10 Travel Tips featuring tips for maintaining healthy habits.,0.75,0.6666666666666666,0.7083333333333333,1.970721960067749,1
"Create a post in r/Travel titled ""Best Sci-Fi Novels"" with content ""voting for the best movie franchises"".",1.0,1.0,1.0,0.784508228302002,0
Draft a post for r/Travel titled Best Sci-Fi Novels encouraging voting for the best movie franchises.,0.75,0.6666666666666666,0.7083333333333333,2.670074224472046,1
Submit a post on r/Travel with the title Best Sci-Fi Novels asking voting for the best movie franchises.,1.0,0.8571428571428571,0.9285714285714286,2.110074758529663,1
Write a post in r/Travel titled Best Sci-Fi Novels and invite opinions on voting for the best movie franchises.,1.0,0.7142857142857143,0.8571428571428572,4.085165739059448,1
Prepare a post for r/Travel titled Best Sci-Fi Novels engaging users to discuss voting for the best movie franchises.,0.25,0.8,0.525,1.559729814529419,1
"Create a link to r/Technology titled ""The Future of AI"" with URL www.example.com.",1.0,1.0,1.0,1.2650225162506104,0
Submit a link on r/Technology titled The Future of AI directing readers to www.example.com.,1.0,1.0,1.0,3.5201056003570557,0
Add a link to r/Technology under the title The Future of AI pointing to www.example.com.,1.0,1.0,1.0,1.3447425365447998,0
Share a link in r/Technology titled The Future of AI with the URL www.example.com.,1.0,1.0,1.0,0.9604194164276123,0
Post a link on r/Technology titled The Future of AI leading to www.example.com.,1.0,1.0,1.0,1.5396275520324707,0
"Create a post in r/Movies titled ""Favorite Movie Franchises"" with content ""exploring the best books in Sci-Fi"".",1.0,1.0,1.0,0.6602096557617188,0
Draft a post for r/Movies titled Favorite Movie Franchises highlighting exploring the best books in Sci-Fi.,0.75,0.16666666666666666,0.4583333333333333,2.0799965858459473,1
Submit a post on r/Movies under the title Favorite Movie Franchises exploring the best books in Sci-Fi.,1.0,0.7142857142857143,0.8571428571428572,2.174786329269409,1
Write a post in r/Movies titled Favorite Movie Franchises and include recommendations for exploring the best books in Sci-Fi.,1.0,0.8571428571428571,0.9285714285714286,2.1250152587890625,1
Prepare a post for r/Movies titled Favorite Movie Franchises featuring exploring the best books in Sci-Fi.,0.75,0.6666666666666666,0.7083333333333333,2.2050604820251465,1
"Create a poll in r/Technology titled ""Best Sci-Fi Novels"" with content about ""Is Dune Prophecy an all time favourite?"" and options ""Yes"", ""No"".",1.0,0.75,0.875,1.2200441360473633,0
"Draft a poll for r/Technology titled Best Sci-Fi Novels with content on is Dune Prophecy an all time favourite?, giving options Yes and No.",0.75,0.14285714285714285,0.4464285714285714,2.024940252304077,0
"Submit a poll on r/Technology titled Best Sci-Fi Novels asking for feedback Is Dune Prophecy an all time favourite?, with choices Yes or No.",1.0,0.5,0.75,1.5800588130950928,0
Post a poll in r/Technology titled Best Sci-Fi Novels featuring Is Dune Prophecy an all time favourite? and options Yes and No.,1.0,0.75,0.875,5.220052242279053,1
Prepare a poll for r/Technology titled Best Sci-Fi Novels focusing on Is Dune Prophecy an all time favourite? with Yes/No options.,0.75,0.42857142857142855,0.5892857142857143,1.5399422645568848,0
